Found 200 images and 200 masks.

===== Training with 1 positive/negative clicks =====
[Epoch 01] Train=11.4136 | Val=0.6811 | Dice=0.1178 | IoU=0.0910 | Acc=0.7018 | Sens=0.2093 | Spec=0.9495
[Epoch 02] Train=9.0608 | Val=0.6175 | Dice=0.2959 | IoU=0.2507 | Acc=0.7937 | Sens=0.5030 | Spec=0.9380
[Epoch 03] Train=8.1025 | Val=0.5231 | Dice=0.4015 | IoU=0.3570 | Acc=0.8384 | Sens=0.6891 | Spec=0.9122
[Epoch 04] Train=7.9048 | Val=0.4226 | Dice=0.4284 | IoU=0.3866 | Acc=0.8531 | Sens=0.7431 | Spec=0.9077
[Epoch 05] Train=6.9547 | Val=0.3722 | Dice=0.4489 | IoU=0.4096 | Acc=0.8816 | Sens=0.7799 | Spec=0.9324
[Epoch 06] Train=6.9471 | Val=0.3427 | Dice=0.4728 | IoU=0.4357 | Acc=0.9038 | Sens=0.8263 | Spec=0.9434
[Epoch 07] Train=6.7269 | Val=0.2829 | Dice=0.4803 | IoU=0.4452 | Acc=0.9203 | Sens=0.8445 | Spec=0.9583
[Epoch 08] Train=6.4358 | Val=0.2761 | Dice=0.4906 | IoU=0.4547 | Acc=0.9172 | Sens=0.8768 | Spec=0.9379
[Epoch 09] Train=5.4898 | Val=0.2978 | Dice=0.4846 | IoU=0.4455 | Acc=0.9076 | Sens=0.8631 | Spec=0.9313
[Epoch 10] Train=5.2797 | Val=0.2557 | Dice=0.4910 | IoU=0.4557 | Acc=0.9269 | Sens=0.8691 | Spec=0.9566
[Epoch 11] Train=5.1942 | Val=0.2820 | Dice=0.4898 | IoU=0.4532 | Acc=0.9088 | Sens=0.8773 | Spec=0.9264
[Epoch 12] Train=4.5787 | Val=0.2701 | Dice=0.4842 | IoU=0.4454 | Acc=0.9215 | Sens=0.8516 | Spec=0.9563
[Epoch 13] Train=4.5748 | Val=0.2781 | Dice=0.4741 | IoU=0.4325 | Acc=0.9063 | Sens=0.8099 | Spec=0.9547
[Epoch 14] Train=4.6690 | Val=0.2434 | Dice=0.4927 | IoU=0.4546 | Acc=0.9245 | Sens=0.8756 | Spec=0.9494
[Epoch 15] Train=4.6449 | Val=0.2666 | Dice=0.4563 | IoU=0.4137 | Acc=0.9059 | Sens=0.7980 | Spec=0.9602
[Epoch 16] Train=4.9761 | Val=0.3259 | Dice=0.4887 | IoU=0.4463 | Acc=0.8858 | Sens=0.9172 | Spec=0.8716
[Epoch 17] Train=4.4790 | Val=0.2198 | Dice=0.4782 | IoU=0.4425 | Acc=0.9308 | Sens=0.8341 | Spec=0.9786
[Epoch 18] Train=4.5250 | Val=0.2430 | Dice=0.4742 | IoU=0.4346 | Acc=0.9245 | Sens=0.8297 | Spec=0.9709
[Epoch 19] Train=4.4271 | Val=0.2660 | Dice=0.4950 | IoU=0.4533 | Acc=0.9153 | Sens=0.9118 | Spec=0.9178
[Epoch 20] Train=4.4940 | Val=0.2283 | Dice=0.4996 | IoU=0.4634 | Acc=0.9288 | Sens=0.9084 | Spec=0.9394
[Epoch 21] Train=4.2355 | Val=0.3325 | Dice=0.4829 | IoU=0.4368 | Acc=0.8764 | Sens=0.9386 | Spec=0.8465
